epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0736,2.41009,9.4915,0.0052,0.00032,0.125,0.00017,4e-05,1.77819,6.49251,0.00526,6.668e-05,6.668e-05,6.668e-05
2,25.31,2.1477,8.2817,0.00614,0.00024,0.125,6e-05,2e-05,1.70848,6.46027,0.00492,0.000148545,0.000148545,0.000148545
3,48.055,2.18517,7.59605,0.0051,0.00022,0.125,0.00015,8e-05,1.61221,6.3631,0.0039,0.000228759,0.000228759,0.000228759
4,72.2235,2.05215,7.92318,0.00511,0.00019,0.125,0.00113,0.00026,1.62817,6.07675,0.00398,0.000307323,0.000307323,0.000307323
5,92.5203,1.92197,8.12903,0.0051,0.00018,0.125,0.00645,0.00518,1.49046,5.9702,0.0034,0.000384237,0.000384237,0.000384237
6,105.227,1.77509,8.59352,0.00408,0.00018,0.125,0.1225,0.09804,1.46271,5.99841,0.00391,0.0004595,0.0004595,0.0004595
7,117.969,1.95524,6.1172,0.00389,0.00018,0.125,0.1225,0.09256,1.3627,5.93558,0.00334,0.000533113,0.000533113,0.000533113
8,130.987,1.65375,7.66734,0.00388,0.00018,0.125,0.1225,0.10208,1.31036,5.87873,0.00335,0.000605076,0.000605076,0.000605076
9,143.861,1.92021,5.87617,0.00372,0.00018,0.125,0.1225,0.10412,1.29142,5.83559,0.00324,0.000675388,0.000675388,0.000675388
10,169.071,1.90927,6.36083,0.00355,0.00017,0.125,0.1225,0.10412,1.2792,5.52978,0.00346,0.00074405,0.00074405,0.00074405
11,181.656,1.7921,5.41496,0.0037,0.00035,0.25,0.12964,0.10313,1.41534,5.40319,0.00378,0.000811062,0.000811062,0.000811062
12,206.834,1.9337,5.55338,0.00422,0.00875,0.32692,0.18745,0.15343,1.39165,5.06773,0.00354,0.000876424,0.000876424,0.000876424
13,219.907,1.76368,5.38894,0.00453,0.03065,0.55769,0.46817,0.32855,1.27328,4.73019,0.00343,0.000940135,0.000940135,0.000940135
14,232.811,1.9966,5.23164,0.00455,0.03065,0.55769,0.46817,0.32855,1.27328,4.73019,0.00343,0.0010022,0.0010022,0.0010022
15,261.878,1.89797,4.55185,0.00416,0.02713,0.75962,0.59243,0.39028,1.29896,4.47507,0.00384,0.00106261,0.00106261,0.00106261
16,274.935,1.80798,5.08418,0.00435,0.36851,0.75962,0.63783,0.39602,1.32696,4.31072,0.00323,0.00112137,0.00112137,0.00112137
17,296.129,1.79002,5.33644,0.00379,0.73174,0.125,0.63746,0.35656,1.60118,4.15066,0.0049,0.00117848,0.00117848,0.00117848
18,312.722,1.66785,5.53637,0.00493,0.73174,0.125,0.63746,0.35656,1.60118,4.15066,0.0049,0.00123394,0.00123394,0.00123394
19,325.98,1.79586,5.28024,0.004,0.6853,0.375,0.66204,0.39457,1.48186,4.01076,0.00404,0.00128774,0.00128774,0.00128774
20,339.972,1.6752,4.37178,0.00409,0.79134,0.35334,0.67255,0.42661,1.42365,3.75051,0.00331,0.0013399,0.0013399,0.0013399
21,353.851,1.91288,4.98733,0.00449,0.79134,0.35334,0.67255,0.42661,1.42365,3.75051,0.00331,0.00133693,0.00133693,0.00133693
22,380.963,1.92309,4.87649,0.00361,0.7994,0.3735,0.69415,0.45827,1.30068,3.47876,0.00343,0.00132043,0.00132043,0.00132043
23,397.999,1.91861,4.0516,0.00411,0.5339,0.64423,0.70095,0.48491,1.28719,3.18244,0.00312,0.00130393,0.00130393,0.00130393
24,417.181,1.77306,4.03507,0.00363,0.5339,0.64423,0.70095,0.48491,1.28719,3.18244,0.00312,0.00128742,0.00128742,0.00128742
25,435.621,1.71958,4.24077,0.00386,0.74545,0.48077,0.71046,0.48105,1.43762,2.8824,0.00432,0.00127092,0.00127092,0.00127092
26,464.236,2.16248,4.83329,0.00438,0.74545,0.48077,0.71046,0.48105,1.43762,2.8824,0.00432,0.00125442,0.00125442,0.00125442
27,479.637,1.57883,3.95146,0.00469,0.45995,0.55769,0.65929,0.40891,1.34275,2.86503,0.00361,0.00123791,0.00123791,0.00123791
28,493.139,1.43111,4.18052,0.00452,0.42494,0.63462,0.62674,0.38977,1.31893,2.74874,0.00381,0.00122141,0.00122141,0.00122141
29,519.333,1.55544,3.79166,0.00362,0.42494,0.63462,0.62674,0.38977,1.31893,2.74874,0.00381,0.00120491,0.00120491,0.00120491
30,535.425,1.87289,3.336,0.00301,0.52207,0.63462,0.66539,0.41863,1.32421,2.65347,0.00393,0.0011884,0.0011884,0.0011884
31,561.986,1.73537,4.33739,0.00414,0.54114,0.67308,0.72021,0.46517,1.31805,2.58711,0.00343,0.0011719,0.0011719,0.0011719
